"","region","MonthDate","counts"
"1","abilene","2013-07-01 00:00:00",1
"2","abilene","2013-08-01 00:00:00",6
"3","abilene","2013-09-01 00:00:00",36
"4","abilene","2013-10-01 00:00:00",104
"5","abilene","2013-11-01 00:00:00",42
"6","abilene","2013-12-01 00:00:00",41
"7","abilene","2014-01-01 00:00:00",60
"8","abilene","2014-02-01 00:00:00",76
"9","abilene","2014-03-01 00:00:00",74
"10","abilene","2014-04-01 00:00:00",156
"11","abilene","2014-05-01 00:00:00",134
"12","abilene","2014-06-01 00:00:00",8
"13","akroncanton","2013-09-01 00:00:00",71
"14","akroncanton","2013-10-01 00:00:00",277
"15","akroncanton","2013-11-01 00:00:00",161
"16","akroncanton","2013-12-01 00:00:00",151
"17","akroncanton","2014-01-01 00:00:00",126
"18","akroncanton","2014-02-01 00:00:00",141
"19","akroncanton","2014-03-01 00:00:00",129
"20","akroncanton","2014-04-01 00:00:00",285
"21","akroncanton","2014-05-01 00:00:00",233
"22","akroncanton","2014-06-01 00:00:00",9
"23","albany","2013-08-01 00:00:00",3
"24","albany","2013-09-01 00:00:00",145
"25","albany","2013-10-01 00:00:00",302
"26","albany","2013-11-01 00:00:00",175
"27","albany","2013-12-01 00:00:00",158
"28","albany","2014-01-01 00:00:00",165
"29","albany","2014-02-01 00:00:00",166
"30","albany","2014-03-01 00:00:00",164
"31","albany","2014-04-01 00:00:00",247
"32","albany","2014-05-01 00:00:00",272
"33","albany","2014-06-01 00:00:00",17
"34","albanyga","2013-08-01 00:00:00",3
"35","albanyga","2013-09-01 00:00:00",24
"36","albanyga","2013-10-01 00:00:00",76
"37","albanyga","2013-11-01 00:00:00",28
"38","albanyga","2013-12-01 00:00:00",27
"39","albanyga","2014-01-01 00:00:00",40
"40","albanyga","2014-02-01 00:00:00",45
"41","albanyga","2014-03-01 00:00:00",18
"42","albanyga","2014-04-01 00:00:00",41
"43","albanyga","2014-05-01 00:00:00",71
"44","albanyga","2014-06-01 00:00:00",6
"45","albuquerque","2013-07-01 00:00:00",1
"46","albuquerque","2013-08-01 00:00:00",26
"47","albuquerque","2013-09-01 00:00:00",111
"48","albuquerque","2013-10-01 00:00:00",193
"49","albuquerque","2013-11-01 00:00:00",114
"50","albuquerque","2013-12-01 00:00:00",123
"51","albuquerque","2014-01-01 00:00:00",86
"52","albuquerque","2014-02-01 00:00:00",160
"53","albuquerque","2014-03-01 00:00:00",184
"54","albuquerque","2014-04-01 00:00:00",263
"55","albuquerque","2014-05-01 00:00:00",194
"56","albuquerque","2014-06-01 00:00:00",8
"57","alexandria","2013-08-01 00:00:00",5
"58","alexandria","2013-09-01 00:00:00",25
"59","alexandria","2013-10-01 00:00:00",62
"60","alexandria","2013-11-01 00:00:00",21
"61","alexandria","2013-12-01 00:00:00",28
"62","alexandria","2014-01-01 00:00:00",29
"63","alexandria","2014-02-01 00:00:00",39
"64","alexandria","2014-03-01 00:00:00",15
"65","alexandria","2014-04-01 00:00:00",68
"66","alexandria","2014-05-01 00:00:00",65
