"","X","cost_exists","age_exists","cup_exists","county_fips","place_fips","state_fips","place","url","state","bls_code","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place.1","region","counts","completeness","completeness_std","Cup_mean.mean","Cup_mean.std","Cost_hour_mean.mean","Cost_hour_mean.std","Age_mean.mean","Age_mean.std"
"2","abilene",0.0453938584779706,0.0173564753004005,0.0574098798397864,NA,1000,48,"Abilene","abilene","texas","LAUCT480100000000003",120027,96400,12311,620,340,362,1225,1263,1168,1722,412,10720,3060,6241,2475,5258,1571,701,572,41460,"16000US4801000","abilene","abilene",749,0.120160213618158,0.345299956355019,-0.667556742323097,1.3991124138451,240.955882352971,101.103160211522,-0.531375166889186,3.63518763603319
"3","akroncanton",0.216265060240964,0.0355421686746988,0.12710843373494,NA,NA,39,"Akron/Canton","akroncanton","ohio","",11541175,9558840,1404531,31932,8467,17557,67168,54962,87784,109501,67762,1310105,245786,518052,243347,593388,223165,75551,48321,47030,"04000US39","akroncanton","akroncanton",1660,0.378915662650602,0.551540146287931,-0.268975903614458,1.98633855203509,187.514391829143,80.6349132008821,-0.0506024096385542,5.01569263737965
"4","albany",0.15814226925338,0.054673721340388,0.189300411522634,1,1000,36,"Albany","albany","new york","LAUCT360100000000003",97843,55704,30715,274,160,267,378,272,854,785,458,6701,1172,4265,2076,5715,2929,863,881,40404,"16000US3601000","albany","albany",1701,0.402116402116402,0.650317741774055,0.110817166372722,2.34970097773898,214.855018587356,73.8484048820013,0.322163433274603,5.58580770425932
"5","albanyga",0.150510204081633,0.0102040816326531,0.0663265306122449,NA,1052,13,"Albany","albanyga","georgia","LAUCT130105200000003",77546,19150,55701,416,187,147,782,377,1235,1474,806,6609,1430,3423,915,2187,550,277,260,27400,"16000US1301052","albanyga","albanyga",392,0.227040816326531,0.481879757441166,-0.594387755102041,1.55422668747661,213.76412429378,90.3362494658779,-0.744897959183674,2.53995680125094
"6","albuquerque",0.246508379888268,0.0356145251396648,0.164106145251397,NA,2000,35,"Albuquerque","albuquerque","new mexico","LAUCT350200000000003",551597,382530,18424,1725,1272,3256,2284,2567,2817,2767,3714,39488,9471,31894,12323,32587,16381,5052,5358,46060,"16000US3502000","albuquerque","albuquerque",1432,0.44622905027933,0.636563338488334,0.0268854748603352,2.37845190818257,270.723087818703,476.279413617888,-0.0139664804469274,5.35789161563701
"7","alexandria",0.0510510510510511,0.00900900900900901,0.039039039039039,NA,975,22,"Alexandria","alexandria","louisiana","LAUCT220097500000003",48217,17182,29399,468,23,206,696,289,439,520,163,4978,613,2257,410,1796,438,408,240,35001,"16000US2200975","alexandria","alexandria",333,0.0990990990990991,0.318740602175326,-0.747747747747748,1.26444760405723,215.627450980412,87.4228336205052,-0.657657657657658,3.59592011658468
"8","allentown",0.08712715855573,0.0408163265306122,0.116954474097331,NA,2000,42,"Allentown","allentown","pennsylvania","LAUCT420200000000003",118587,78789,14823,535,425,615,1148,1049,1653,1948,1086,12265,1620,3677,2152,3412,1272,578,431,34289,"16000US4202000","allentown","allentown",1274,0.244897959183673,0.49790751209507,-0.296310832025118,1.97318884128867,380.672672672667,919.247477402618,-0.0149136577708006,4.81558714271345
"9","altoona",0.0860215053763441,0.025089605734767,0.039426523297491,NA,2184,42,"Altoona","altoona","pennsylvania","LAUCT420218400000003",46239,43098,NA,132,0,1,176,181,276,691,156,7567,953,1330,984,1748,425,165,74,35572,"16000US4202184","altoona","altoona",279,0.150537634408602,0.414127406084942,-0.754480286738351,1.2472010384719,522.756944444333,511.454412329522,-0.387096774193548,3.85538656553889
"10","amarillo",0.0348214285714286,0.0169642857142857,0.0705357142857143,NA,3000,48,"Amarillo","amarillo","texas","LAUCT480300000000003",193429,160259,13181,965,580,1634,1673,1613,1363,1504,1013,15291,5212,10522,4232,8753,2726,1100,636,45350,"16000US4803000","amarillo","amarillo",1120,0.122321428571429,0.354016863280249,-0.583035714285714,1.56030910487147,210.850427350436,101.42331239217,-0.541071428571429,3.55954213730414
"12","anchorage",0.185477505919495,0.026835043409629,0.115232833464878,20,3000,2,"Anchorage","anchorage","alaska","LAUCT020300000000003",296039,195745,17843,650,309,454,726,843,1274,1133,1635,23949,6798,20018,7034,17136,7435,2706,1324,74648,"16000US0203000","anchorage","anchorage",1267,0.327545382794002,0.552938913849481,-0.321704814522494,1.93337550703047,256.983687943268,87.5942232807197,-0.310970797158642,4.22187539337901
