region,MonthDate,counts
abilene,2013-08-01 00:00:00,3
abilene,2013-09-01 00:00:00,22
abilene,2013-10-01 00:00:00,79
abilene,2013-11-01 00:00:00,6
akroncanton,2013-09-01 00:00:00,62
akroncanton,2013-10-01 00:00:00,190
akroncanton,2013-11-01 00:00:00,22
albany,2013-08-01 00:00:00,4
albany,2013-09-01 00:00:00,80
albany,2013-10-01 00:00:00,181
albany,2013-11-01 00:00:00,26
albanyga,2013-08-01 00:00:00,1
albanyga,2013-09-01 00:00:00,11
albanyga,2013-10-01 00:00:00,60
albanyga,2013-11-01 00:00:00,1
albuquerque,2013-08-01 00:00:00,18
albuquerque,2013-09-01 00:00:00,41
albuquerque,2013-10-01 00:00:00,133
albuquerque,2013-11-01 00:00:00,13
alexandria,2013-08-01 00:00:00,1
alexandria,2013-09-01 00:00:00,13
alexandria,2013-10-01 00:00:00,33
allentown,2013-08-01 00:00:00,15
allentown,2013-09-01 00:00:00,62
allentown,2013-10-01 00:00:00,152
allentown,2013-11-01 00:00:00,17
altoona,2013-08-01 00:00:00,1
altoona,2013-09-01 00:00:00,10
altoona,2013-10-01 00:00:00,36
altoona,2013-11-01 00:00:00,2
amarillo,2013-08-01 00:00:00,18
amarillo,2013-09-01 00:00:00,42
amarillo,2013-10-01 00:00:00,119
amarillo,2013-11-01 00:00:00,17
anchorage,2013-08-01 00:00:00,2
anchorage,2013-09-01 00:00:00,47
anchorage,2013-10-01 00:00:00,143
anchorage,2013-11-01 00:00:00,10
annapolis,2013-08-01 00:00:00,4
annapolis,2013-09-01 00:00:00,16
annapolis,2013-10-01 00:00:00,67
annapolis,2013-11-01 00:00:00,3
annarbor,2013-08-01 00:00:00,9
annarbor,2013-09-01 00:00:00,32
annarbor,2013-10-01 00:00:00,88
annarbor,2013-11-01 00:00:00,8
appleton,2013-08-01 00:00:00,7
appleton,2013-09-01 00:00:00,25
appleton,2013-10-01 00:00:00,135
appleton,2013-11-01 00:00:00,6
arlington,2013-09-01 00:00:00,61
arlington,2013-10-01 00:00:00,201
arlington,2013-11-01 00:00:00,17
asheville,2013-08-01 00:00:00,3
asheville,2013-09-01 00:00:00,40
asheville,2013-10-01 00:00:00,68
asheville,2013-11-01 00:00:00,10
athensga,2013-07-01 00:00:00,1
athensga,2013-08-01 00:00:00,6
athensga,2013-09-01 00:00:00,24
athensga,2013-10-01 00:00:00,89
athensga,2013-11-01 00:00:00,12
athensoh,2013-09-01 00:00:00,6
athensoh,2013-10-01 00:00:00,38
atlanta,2013-06-01 00:00:00,1
atlanta,2013-09-01 00:00:00,169
atlanta,2013-10-01 00:00:00,1193
atlanta,2013-11-01 00:00:00,233
auburn,2013-08-01 00:00:00,4
auburn,2013-09-01 00:00:00,9
auburn,2013-10-01 00:00:00,39
auburn,2013-11-01 00:00:00,2
augusta,2013-08-01 00:00:00,18
augusta,2013-09-01 00:00:00,40
augusta,2013-10-01 00:00:00,154
augusta,2013-11-01 00:00:00,17
austin,2013-09-01 00:00:00,58
austin,2013-10-01 00:00:00,431
austin,2013-11-01 00:00:00,61
bakersfield,2013-09-01 00:00:00,45
bakersfield,2013-10-01 00:00:00,120
bakersfield,2013-11-01 00:00:00,6
baltimore,2013-09-01 00:00:00,81
baltimore,2013-10-01 00:00:00,493
baltimore,2013-11-01 00:00:00,67
batonrouge,2013-08-01 00:00:00,17
batonrouge,2013-09-01 00:00:00,54
batonrouge,2013-10-01 00:00:00,227
batonrouge,2013-11-01 00:00:00,31
battlecreek,2013-08-01 00:00:00,2
battlecreek,2013-09-01 00:00:00,15
battlecreek,2013-10-01 00:00:00,50
battlecreek,2013-11-01 00:00:00,2
beaumont,2013-08-01 00:00:00,21
beaumont,2013-09-01 00:00:00,49
beaumont,2013-10-01 00:00:00,116
beaumont,2013-11-01 00:00:00,13
bellingham,2013-08-01 00:00:00,2
bellingham,2013-09-01 00:00:00,14
bellingham,2013-10-01 00:00:00,53
bellingham,2013-11-01 00:00:00,2
bend,2013-07-01 00:00:00,1
bend,2013-08-01 00:00:00,4
bend,2013-09-01 00:00:00,12
bend,2013-10-01 00:00:00,33
bend,2013-11-01 00:00:00,2
bigisland,2013-08-01 00:00:00,1
bigisland,2013-09-01 00:00:00,5
bigisland,2013-10-01 00:00:00,38
biloxi,2013-08-01 00:00:00,7
biloxi,2013-09-01 00:00:00,49
biloxi,2013-10-01 00:00:00,82
biloxi,2013-11-01 00:00:00,2
binghamton,2013-08-01 00:00:00,2
binghamton,2013-09-01 00:00:00,31
binghamton,2013-10-01 00:00:00,38
binghamton,2013-11-01 00:00:00,2
birmingham,2013-09-01 00:00:00,62
birmingham,2013-10-01 00:00:00,252
birmingham,2013-11-01 00:00:00,32
bismarck,2013-08-01 00:00:00,3
bismarck,2013-09-01 00:00:00,29
bismarck,2013-10-01 00:00:00,78
bismarck,2013-11-01 00:00:00,6
blacksburg,2013-09-01 00:00:00,5
blacksburg,2013-10-01 00:00:00,24
bloomington,2013-08-01 00:00:00,7
bloomington,2013-09-01 00:00:00,26
bloomington,2013-10-01 00:00:00,64
bloomington,2013-11-01 00:00:00,7
bloomingtonin,2013-08-01 00:00:00,2
bloomingtonin,2013-09-01 00:00:00,19
bloomingtonin,2013-10-01 00:00:00,49
bloomingtonin,2013-11-01 00:00:00,4
boulder,2013-08-01 00:00:00,14
boulder,2013-09-01 00:00:00,30
boulder,2013-10-01 00:00:00,92
boulder,2013-11-01 00:00:00,5
bowlinggreen,2013-08-01 00:00:00,2
bowlinggreen,2013-09-01 00:00:00,18
bowlinggreen,2013-10-01 00:00:00,37
bowlinggreen,2013-11-01 00:00:00,5
brownsville,2013-09-01 00:00:00,8
brownsville,2013-10-01 00:00:00,32
buffalo,2013-08-01 00:00:00,1
buffalo,2013-09-01 00:00:00,97
buffalo,2013-10-01 00:00:00,231
buffalo,2013-11-01 00:00:00,22
capecod,2013-09-01 00:00:00,16
capecod,2013-10-01 00:00:00,89
capecod,2013-11-01 00:00:00,4
carbondale,2013-09-01 00:00:00,3
carbondale,2013-10-01 00:00:00,47
